PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,23.06
2,6,10,23.83
3,11,15,24.01
4,16,20,23.19
5,21,25,24.03
6,26,30,23.90
7,31,35,23.44
8,36,40,23.97
9,41,45,24.60
10,46,50,24.43
11,51,55,24.34
12,56,60,23.50
13,61,65,24.07
14,66,70,24.12
15,71,75,24.05
16,76,80,24.91
17,81,85,24.49
18,86,90,24.60
19,91,95,25.02
20,96,100,26.07
21,101,105,26.07
22,106,110,26.08
23,111,115,25.91
24,116,120,25.98
25,121,125,26.24
26,126,130,27.10
27,131,135,27.14
28,136,140,27.11
29,141,145,27.82
30,146,150,27.07
31,151,155,27.99
32,156,160,28.28
33,161,165,27.54
34,166,170,28.66
35,171,175,29.86
36,176,180,30.04
37,181,185,29.81
38,186,190,28.10
39,191,195,28.80
40,196,200,28.90
41,201,205,29.33
42,206,210,29.38
43,211,215,28.34
44,216,220,28.13
45,221,225,28.05
46,226,230,27.19
47,231,235,26.94
48,236,240,28.10
49,241,245,28.64
50,246,250,29.72
51,251,255,29.63
52,256,260,25.96
53,261,265,26.33
54,266,270,27.12
55,271,275,28.17
56,276,280,28.00
57,281,285,27.73
58,286,290,28.61
59,291,295,27.72
60,296,300,26.56
61,301,305,26.31
62,306,310,27.11
63,311,315,28.39
64,316,320,29.01
65,321,325,27.02
66,326,330,27.72
67,331,335,27.35
68,336,340,27.97
69,341,345,28.76
70,346,350,29.84
71,351,355,30.66
72,356,360,30.26
,,OverallMean,26.92
,,PeriodStdDev,2.04
