Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,43,142,240,20,28,366,193,24,711,287,169,13,323,105,116,120,118,5,38
Cartagena,39,-,61,51,15,19,68,25,15,115,34,45,52,76,137,123,64,33,30,32
Colombo,106,47,-,173,16,20,73,69,20,108,98,94,85,277,149,183,40,117,31,66
Hamburg,135,38,210,-,29,39,286,85,30,163,108,38,124,8,372,388,134,25,59,111
Ho Chi Minh City,17,15,32,55,-,8,111,12,2,88,34,29,21,86,47,56,17,34,12,14
Jakarta,24,21,39,64,4,-,143,15,6,122,48,55,22,111,56,72,6,39,17,17
Jebel Ali,131,39,72,167,30,41,-,86,33,222,108,80,99,278,160,180,117,168,31,82
Kaohsiung,16,34,62,132,21,25,123,-,23,281,125,80,36,155,96,65,63,67,9,25
Laem Chabang,18,16,29,52,4,7,115,12,-,101,33,40,19,79,42,54,10,32,13,13
Los Angeles,339,156,157,149,44,55,268,160,44,-,546,122,223,235,540,364,152,92,123,160
New Jersey,126,43,144,95,20,23,130,91,18,541,-,66,123,119,316,302,81,21,49,97
Piraeus,96,45,112,29,19,21,136,59,17,109,66,-,85,75,233,221,80,22,36,70
Qingdao,41,37,75,128,14,19,178,14,14,534,153,107,-,164,10,24,62,79,23,0
Rotterdam,198,55,313,5,43,60,415,136,49,241,163,34,196,-,526,529,188,30,76,156
Shanghai,16,109,189,362,49,60,405,15,52,579,422,187,27,455,-,53,180,161,39,6
Shenzhen,59,71,100,377,20,26,379,10,25,349,306,198,41,527,122,-,41,137,11,20
Singapore,75,52,36,182,4,9,317,48,10,387,104,97,73,281,71,120,-,111,26,49
Tanger Med,96,30,158,15,29,39,199,55,29,94,21,13,93,16,249,243,121,-,41,72
Tianjin,36,30,60,116,9,14,165,23,11,277,115,72,3,185,14,18,57,55,-,0
Xiamen,41,33,66,171,10,12,211,9,12,194,157,99,25,225,86,19,48,71,1,-
