Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,7,37,37,6,9,68,199,8,162,56,35,49,51,128,66,47,21,14,39
Cartagena,3,-,9,17,2,2,9,2,2,7,48,14,4,26,14,12,8,17,2,3
Colombo,30,9,-,29,14,17,122,21,15,16,26,25,24,43,80,76,68,24,7,25
Hamburg,9,17,29,-,3,4,46,6,3,9,36,24,9,43,32,34,15,37,4,9
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,6,3,3,3,5,11,9,15,3,1,2
Jakarta,3,1,9,4,4,-,12,2,4,7,4,6,2,7,14,13,12,3,1,2
Jebel Ali,27,5,121,32,11,16,-,18,12,29,17,26,18,47,47,48,53,38,5,19
Kaohsiung,33,3,7,9,2,3,10,-,3,122,10,6,12,10,24,11,9,5,11,5
Laem Chabang,2,1,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,76,15,20,16,6,9,32,36,8,-,64,14,58,24,126,68,25,10,25,36
New Jersey,11,63,25,41,2,3,19,8,2,37,-,26,10,52,35,32,11,18,4,9
Piraeus,10,12,24,15,3,3,33,6,2,8,23,-,7,35,28,25,13,32,3,8
Qingdao,14,3,12,10,2,3,17,34,2,163,15,11,-,13,31,12,15,7,6,1
Rotterdam,15,24,44,25,4,7,66,11,5,14,58,23,14,-,53,46,23,60,6,13
Shanghai,78,9,32,43,9,12,43,60,10,207,48,34,65,53,-,30,46,23,44,12
Shenzhen,35,10,44,48,11,16,71,29,13,40,54,39,9,63,20,-,57,21,7,3
Singapore,22,8,65,26,8,18,102,15,8,46,23,22,20,38,72,74,-,20,6,20
Tanger Med,8,16,25,21,4,4,37,4,3,6,19,19,7,32,26,24,16,-,3,6
Tianjin,11,3,10,9,2,3,17,7,2,26,12,8,13,14,27,8,14,5,-,1
Xiamen,22,3,16,15,3,3,25,15,3,19,20,12,5,19,14,53,19,8,1,-
