Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,278,"1,421","1,388",221,308,"2,568","6,214",241,"5,562","2,044","1,209","1,880","1,808","4,047","2,306","1,603",780,"1,093","1,208"
Cartagena,183,-,539,"1,032",105,129,529,102,92,402,"2,864",798,247,"1,482",790,677,462,"1,089",110,162
Colombo,"1,367",538,-,"1,822",607,771,"5,354",790,646,602,"1,606","1,565","1,075","2,725","3,537","3,582","3,182","1,510",266,"1,096"
Hamburg,620,949,"1,915",-,192,260,"3,021",399,200,528,"2,365","1,570",573,"2,869","2,201","2,160","1,055","2,556",233,587
Ho Chi Minh City,238,130,714,406,-,661,"1,098",150,534,542,354,316,261,632,"1,233","1,195","1,848",298,100,255
Jakarta,342,180,"1,027",512,442,-,"1,519",191,472,731,504,643,290,845,"1,611","1,589","1,459",374,143,316
Jebel Ali,"1,248",346,"5,546","1,976",519,714,-,733,506,"1,002","1,000","1,665",850,"3,070","2,107","2,142","2,597","2,507",210,892
Kaohsiung,"2,436",166,469,644,163,207,689,-,173,"3,532",729,448,906,712,"1,553",737,547,358,794,375
Laem Chabang,257,137,712,413,223,748,"1,178",165,-,603,371,446,246,590,"1,231","1,218","1,851",291,132,242
Los Angeles,"2,826",646,773,554,231,286,"1,070","1,085",212,-,"2,320",521,"2,176",885,"3,923","2,370",843,367,726,"1,124"
New Jersey,697,"3,592","1,547","2,517",156,182,"1,114",457,137,"1,822",-,"1,477",653,"3,005","2,212","1,901",721,"1,097",199,581
Piraeus,569,757,"1,509","1,009",167,207,"2,291",336,152,419,"1,389",-,497,"2,372","1,817","1,597",863,"2,159",169,485
Qingdao,"1,163",268,966,823,192,304,"1,446",934,182,"5,079","1,228",883,-,"1,035","2,613",928,"1,204",583,391,45
Rotterdam,952,"1,453","2,895","1,709",297,409,"4,475",616,339,764,"3,768","1,551",912,-,"3,070","3,056","1,464","4,004",292,823
Shanghai,"2,844",730,"2,504","2,939",700,949,"3,209","1,719",735,"5,856","3,440","2,223","2,531","3,562",-,"2,313","3,694","1,564","1,521",990
Shenzhen,"3,181",649,"2,785","3,172",767,"1,087","4,624","2,172",819,"2,849","3,734","2,529",781,"4,269","1,668",-,"3,910","1,404",642,247
Singapore,"1,489",551,"2,826","1,663",900,"2,103","4,557",886,966,"2,604","1,496","1,400","1,339","2,443","4,855","4,942",-,"1,267",310,"1,430"
Tanger Med,501,973,"1,634","1,488",210,295,"2,509",272,216,326,"1,058","1,200",471,"2,073","1,636","1,499","1,032",-,171,423
Tianjin,914,199,747,749,129,209,"1,328",516,150,"1,993",918,599,961,"1,152","2,088",656,"1,088",416,-,44
Xiamen,"1,863",264,"1,265","1,289",223,285,"2,097","1,262",241,"1,533","1,581",992,469,"1,647","1,067","4,483","1,572",609,42,-
