Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,"1,039",436,"1,475",0.01
Cartagena,203,0,203,0.00
Colombo,670,"1,776","2,446",0.01
Hamburg,369,5,374,0.00
Ho Chi Minh City,93,13,106,0.06
Jakarta,112,0,112,0.03
Jebel Ali,590,0,590,0.00
Kaohsiung,293,569,861,0.10
Laem Chabang,92,5,97,0.03
Los Angeles,668,0,668,0.00
New Jersey,407,116,523,0.00
Piraeus,289,"1,236","1,526",0.02
Qingdao,372,778,"1,150",0.07
Rotterdam,511,0,511,0.00
Shanghai,857,"1,332","2,189",0.00
Shenzhen,588,"1,059","1,647",0.00
Singapore,614,"2,001","2,615",0.01
Tanger Med,281,"1,103","1,384",0.02
Tianjin,191,0,191,0.00
Xiamen,276,"1,014","1,290",0.05
TOTAL,"8,514","11,444","19,957",0.43
